story,category
j u s t   l i k e   a n y   o t h e r   d a y   e m p l o y e e s   a r r i v e d   i n   t h e   w o r k p l a c e   s p a r i n g l y   f i l l i n g   t h e   c u b i c l e s   a n d   g e t t i n g   t h e i r   c o f f e e s   r e a d y   o n c e   m o r e   t h e   m a n a g e r   w a s   a l r e a d y   s i t t i n g   a t   h i s   d e s k   g r u m b l i n g   a n d   s h o u t i n g   y o u   r e   w a y   t o o   s l o w   a g a i n   !   h o w   a m   i   s u p p o s e d   t o   g e t   m y   w o r k   d o n e   w i t h   y o u   s l o w i n g   m e   d o w n   e v e r y   d a y   ?   t h e   o t h e r   e m p l o y e e s   w e r e   s t a r i n g   a t   e a c h   o t h e r   t h e y   w e r e   e m b a r r a s s e d   b y   h i s   o u t b u r s t   b u t   d e e p   i n s i d e   t h e y   k n e w   h e   w a s   r i g h t   s a t i s f i e d   b y   t h e   n o d s   i n   t h e   a s s e m b l y   t h e   m a n a g e r   c a l m e d   d o w n   a s   u s u a l   h e   q u i c k l y   g o t   a b s o r b e d   b y   h i s   s c r e e n   a n d   n u m e r o u s   e m a i l s   h e   w a s   n o t   t h e   m o o d y   t y p e   j u s t   a   n o r m a l   g u y   h i s   t e a m   l i k e d   h i_m   v e r y   m u c h   a n d   h i s   p e r f o r m a n c e   r e c o r d   w a s   e x e m p l a r y   h e   w a s   o f t e n   d e s c r i b e d   a s   s o m e o n e   c a r i n g   a n d   t r u s t w o r t h y   w i t h   a   g e n u i n e   i n t e r e s t   i n   p e o p l e   y e t   o n c e   a g a i n   h i s   f i s t   h i t   t h e   d e s k   l o u d l y   a s   h e   s t a r t e d   s c r e a m i n g   t h a t   s   i t   i   m   d o n e   !   s l o w   a n d   u n r e l i a b l e   o l d   c r a p   !   y o u   m a d e   m e   l o s e   f i v e   h o u r s   o f   m y   l i f e   a g a i n   w o r l d   w i l l   b e   b e t t e r   o f f   w i t h o u t   y o u   a n d   i   m   g o i n g   t o   l e t   t h e   b o a r d   k n o w   a b o u t   t h a t   h e   s t o o d   u p   s u d d e n l y   a n d   c l e n c h e d   h i s   f i s t s   i n   a n g e r   h e   t h e n   w a l k e d   r a p i d l y   t o   t h e   s t a i r s   c l i_m b e d   a n d   d i s a p p e a r e d   n o b o d y   s a w   h i_m   a g a i n   f o r   t h e   d a y   b u t   t h e y   a l l   k n e w   h e   w a s   g o i n g   f o r   a   c o n f r o n t a t i o n   i f   n o t   a   f i g h t   i t   w a s   g o i n g   t o   g e t   r e a l l y   u g l y   u p   t h e r e,0
m y   s o   c a l l e d   f r i e n d s   i n   m i d d l e   s c h o o l   u s e d   t o   c a l l   m e   s a m a r a   y e s   t h e   d e a d   d e m o n   g i r l   i n   t h e   r i n g   a p p a r e n t l y   i   l o o k e d   l i k e   h e r   !,1
i   h a v e   b e e n   c a l l e d   h u r t f u l   n a m e s   a n d   i   h a v e   b e e n   c a l l e d   b l a c k   b i t c h   a n d   p e o p l e   a r e   m a k i n g   f u n   o f   m e   f o r   b e i n g   b l a c k   b y   m y   s u p p o s t   t o   b e   f r i e n d   t   a n d   s h e   h a s   p o s t e d   r u m o r s   a b o u t   m e   a n d   i   d o n t   k n o w   w h a t   t o   d o,1
a t   m y   o l d   s c h o o l   k i d s   w o u l d   h i t   m e   a n d   c a l l   m e   n a m e s   o n e   t i_m e   o n e   o f   t h e m   r a n   i n t o   m e   a n d   i   h i t   m y   h e a d   o n   t h e   f l o o r   a n d   a f t e r   i   f e l t   l i k e   s o m e o n e   w a s   s t a b b i n g   m y   h e a d   a l l   w e e k e n d   a t   f i r s t   i   d i d n   t   t e l l   m y   m o m   b u t   i t   e n d e d   u p   g e t t i n g   s o   b a d   t h a t   i   h a d   t o   t r a n s f e r   n o w   i   d o n   t   k n o w   h o w   w i l l   i   c o p e   i n   a   n e w   e n v i r o n m e n t   w i t h   n e w   p e o p l e   i   f e a r   i   w o u l d   e n d   u p   i n   a   s i_m i l a r   s i t u a t i o n   ?,1
i   h a d   d e b i l i t a t i n g   m i g r a i n e s   f o r   t h r e e   y e a r s   b e c a u s e   o f   t h e   t o x i c   w o r k   e n v i r o n m e n t   i   w a s   i n   i t   t o o k   a   t w o   w e e k   v a c a t i o n   w h i c h   i n c l u d e d   t h e   s t r e s s   o f   m y   o w n   w e d d i n g   w i t h   a b s o l u t e l y   n o   m i g r a i n e s   t o   f i n a l l y   r e a l i z e   t h e   c a u s e   i   q u i t   i n   j u n e   i   c a n   c o u n t   o n   o n e   h a n d   h o w   m a n y   m i g r a i n e s   i   h a v e   h a d   s i n c e   w h e n   i   w a s   g e t t i n g   o n   a v e r a g e   o n e   a   w e e k   p r i o r   t o   l e a v i n g,0
i   l o v e   m y   w o r k   b u t   h a t e   g o i n g   e a c h   d a y   b e c a u s e   o f   m y   s u p e r v i s o r   i   w o u l d   g e t   p h y s i c a l l y   i l l   k n o w i n g   w h e n   s h e   w o u l d   b e   a r o u n d   e m a i l s   f r o m   h e r   g i v e s   m e   s e r i o u s   a n x i e t y   a n d   h i v e s   i f   s h e   r e q u e s t   a n y   m e e t i n g s   i   w o u l d   h a v e   s t r e s s   a t t a c k s   a n d   c o l d   s w e a t s   i   d i d n   t   s l e e p   c o n s t a n t l y   w o r r y i n g   a b o u t   w o r k   a n d   w a s   i l l   f r e q u e n t l y   i   e n d e d   u p   i n   t h e   i c u   l a s t   w e e k   a t   3 6   y e a r s   o l d   a n d   h a v e   s e r i o u s   w o r k   i n d u c e d   a n x i e t y,0
i   h a v e   a   c h r o n i c   i l l n e s s   w h i c h   w a s   d o i n g   w e l l   e n o u g h   f o r   m e   t o   w o r k   h o w e v e r   a f t e r   a   y e a r   o f   t h a t   t o x i c   e n v i r o n m e n t   m y   s y m p t o m s   w e r e   g e t t i n g   w o r s e   i   c o u l d   n o t   f u n c t i o n   i t   i n c r e a s e d   m y   d e p r e s s i o n   i   d e v e l o p e d   a   t e e t h   g r i n d i n g   p r o b l e m   i t   w a s   a   h o r r i b l e   t i_m e,0
t h e   o t h e r   p a r t   i s   t h a t   s e n s e   o f   w o r t h l e s s n e s s   i   s t r u g g l e   w i t h   t h i s   e v e r y   d a y   a n d   h a v e   b e e n   l o o k i n g   f o r   a n o t h e r   j o b   t h e   p r o b l e m   i s   n o   o n e   e l s e   w a n t s   m e   a n d   i t   m a k e s   m e   f e e l   w o r s e   w h e n   t h e   o n l y   j o b   t h a t   d o e s   v i e w s   m e   a s   h i g h l y   e x p e n d a b l e   a n d   u s e l e s s,0
i   f e e l   m y   w h o l e   b o d y   h u r t i n g   m y   m e n t a l   h e a l t h   w e n t   d o w n   s o   m u c h   i   r e m e m b e r   b e i n g   o n   v a c a t i o n   w o r r i e d   s o   m u c h   a b o u t   w o r k   t h a t   i   c h e c k e d   m y   p h o n e   i n s t e a d   o f   s p e n d i n g   t i_m e   w i t h   m y   f a m i l y,0
a s   a   l i b r a r i a n   i   v e   b e e n   t h r e a t e n e d   w i t h   s t a l k i n g   f o r   n o t   g i v i n g   m y   p h o n e   n u m b e r   t o   a   p a t r o n   i   v e   a l s o   b e e n   s h o w n   n a k e d   s e x u a l l y   e x p l i c i t   p h o t o s   a n d   p r o p o s i t i o n e d   b y   c o u n t l e s s   m e n   s o m e   o f   w h i c h   w e r e   m a r r i e d   a n d   s t a n d i n g   r i g h t   n e x t   t o   t h e i r   c h i l d r e n   s o m e   o f   m y   f e m a l e   c o l l e a g u e s   h a v e   h a d   m a l e   p a t r o n s   w a i t i n g   f o r   t h e m   i n   t h e   p a r k i n g   l o t   a f t e r   w o r k   a n d   t h e y   v e   r e c e i v e d   e x p l i c i t   m e s s a g e s   o v e r   s o c i a l   m e d i a,2
i   w o r k e d   a s   a n   o f f i c e   m a n a g e r   a n d   t h e   o n l y   w o m a n   f o r   a n   i n d u s t r i a l   i n s u l a t i o n   c o m p a n y   i   h a d   j u s t   c o m e   b a c k   f r o m   m a t e r n i t y   l e a v e   a n d   i   w a s   w o r r i e d   a b o u t   m y   m i l k   s u p p l y   i   w e n t   i n t o   t h e   b a t h r o o m   t o   p u m p   f o r   a b o u t   1 5   m i n u t e s   e v e r y   t w o   h o u r s   a n d   a l l   o f   t h e   m e n   i n   t h e   o f f i c e   w o u l d   s t a n d   i n   t h e   b r e a k   a r e a   r i g h t   i n   f r o n t   o f   t h e   b a t h r o o m   d o o r   a n d   m a k e   b a b y   c r y i n g   n o i s e s   t o   m a k e   f u n   o f   m e   e v e n t u a l l y   i t   p r o g r e s s e d   t o   t h e   p o i n t   t h a t   t h e y   w o u l d   m a k e   c r y i n g   n o i s e s   e v e r y   t i_m e   t h e y   p a s s e d   m y   d e s k   i n   h o p e s   t h a t   i   w o u l d   l e a k   t h r o u g h   m y   s h i r t   t h e y   w o u l d   a l s o   m a k e   c o m m e n t s   a b o u t   h o w   m u c h   l a r g e r   m y   b r e a s t s   w e r e   s i n c e   h a v i n g   a   b a b y   i   f e l t   s o   h a r a s s e d   a n d   u n s a f e   t h a t   i   w o u l d   d r e a d   g o i n g   t o   w o r k   e v e r y   d a y   a n d   i   e v e n   h a d   m o r e   t h a n   a   f e w   n e r v o u s   b r e a k d o w n s   m y   h u s b a n d   w a s   f u r i o u s   a n d   i   h a d   t o   c o n v i n c e   h i_m   n o t   t o   t a k e   a n y   d r a s t i c   a c t i o n   s o   t h a t   i   c o u l d   b e   s u r e   t o   h a v e   a   g o o d   r e f e r e n c e   i f   i   n e e d e d   t o   f i n d   a n o t h e r   j o b   w e   h a d   a   l o n g   c o n v e r s a t i o n   a n d   l o o k e d   a t   o u r   f i n a n c e s   a n d   d e c i d e d   t h e   e x t r a   m o n e y   w a s n   t   w o r t h   t h e   e m o t i o n a l   d i s t r e s s   i   e n d e d   u p   q u i t t i n g   m y   j o b   a n d   s t a y i n g   h o m e   w i t h   o u r   k i d s,2
i   u s e d   t o   w o r k   f o r   a   c a l l   c e n t e r   a n d   t h e   m e n   t h e r e   w e r e   e x t r e m e l y   d i s g u s t i n g   a l w a y s   m u t t e r i n g   s e x u a l   c o m m e n t s   t h e   w o r s t   o n e   i   h a d   w a s   f r o m   a   c o   w o r k e r   w h o   u s e d   t o   m e s s a g e   m e   o n   t h e   w o r k   c h a t   r o o m   a s k i n g   m e   t o   c o m e   b l o w   h i_m   u n d e r   h i s   d e s k   w h e n   i   r e p o r t e d   i t   t o   h r   t h e y   s a i d   i   w a s   t h e   o n e   c a u s i n g   t h e   i s s u e,2
w h e n   i   w a s   1 3   o r   1 4   i   w a s   b a b y s i t t i n g   t w o   k i d s   a n d   s o m e   o t h e r   k i d s   c a m e   o v e r   f o r   a   p l a y   d a t e   s o   i   e n d e d   u p   w a t c h i n g   t h e m   t o o   i   g o t   a   r i d e   h o m e   f r o m   t h e   d a d   o f   o n e   o f   t h e   k i d s   w h o   d   c o m e   o v e r   e a r l i e r   i   h a d   n o t i c e d   h i_m   s t a r i n g   a t   m e   s p e c i f i c a l l y   m y   c h e s t   b u t   i   d i d n   t   t h i n k   m u c h   o f   i t   w h e n   w e   g o t   i n   t h e   c a r   h e   a s k e d   m e   w h e r e   i   w e n t   t o   s c h o o l   n o r m a l   w h a t   i   d i d   o u t s i d e   o f   s c h o o l   a   l i t t l e   w e i r d   b u t   e h   a n d   i f   i   h a d   a   b o y f r i e n d   c r e e p y   i   b e i n g   a n   i n n o c e n t   l i l   n e r d   p r o c e e d e d   t o   t a l k   a b o u t   t h e   c l a s s e s   i   w a s   t a k i n g   a n d   h o w   t i_m e   c o n s u m i n g   b u t   f u n   t h e y   w e r e   i   r e m e m b e r   f e e l i n g   f l a t t e r e d   t h a t   h e   a s k e d   m e   s o   m a n y   q u e s t i o n s   a b o u t   m y   l i f e   a n d   s e e m e d   t o   l i s t e n   t o   m y   r e s p o n s e   i   l i v e d   c l o s e   b y   s o   l u c k i l y   i   w a s   h o m e   b e f o r e   a n y t h i n g   c o u l d   h a p p e n   a s   i   w a s   l e a v i n g   t h e   c a r   h e   a s k e d   f o r   m y   p h o n e   n u m b e r   t o   c o n t a c t   m e   t o   b a b y s i t   w h i c h   a g a i n   i s   w e i r d   i n   r e t r o s p e c t   b e c a u s e   h i s   d a u g h t e r s   s a i d   t h e y   h a d   a   l i v e   i n   n a n n y   w h o   u s u a l l y   w a t c h e d   t h e m   i   d i d n   t   h a v e   a   c e l l   a t   t h e   t i_m e   a n d   t o l d   h i_m   t o   a s k   t h e   p e o p l e   i   b a b y s a t   f o r   r e g u l a r l y   t o   s e n d   h i_m   m y   e m a i l   h e   l o o k e d   k i n d a   m a d   b u t   b y   t h i s   p o i n t   i   w a s   o u t   o f   t h e   c a r   a n d   w a l k i n g   u p   t h e   s t a i r s   t o   m y   f r o n t   d o o r,2
i   w o r k   i n   l a w   e n f o r c e m e n t   i   s t a r t e d   o u t   a s   a   c o r r e c t i o n a l   o f f i c e r   i n   a n   a l l   m a l e   p r i s o n   w h e n   i   w a s   w a l k i n g   t o   m y   p o s t   o n e   d a y   a n   i n m a t e   s c r e a m e d   a t   m e   b i t c h   i   l l   b e a t   y o u r   p u s s y   s o   h a r d   i t   l l   p u t   y o u   i n   t h e   h o s p i t a l   i   c a l l e d   a   u n i t   c o d e   b e c a u s e   t o   m e   t h a t   i s   h a r a s s m e n t   v i o l e n t   s e x u a l   h a r a s s m e n t   b u t   b e c a u s e   i   w o r k e d   i n   a   m a l e   p r i s o n   i   w a s   s u p p o s e d   t o   l e t   i t   g o   i n   o n e   e a r   a n d   o u t   t h e   o t h e r,2
i   m   a   w a i t r e s s   a n d   i   g e t   h a r a s s e d   d a i l y   b y   c u s t o m e r s   t r y i n g   t o   o r d e r   t h e   k i t c h e n   s t a f f   o p e n l y   c o m m e n t s   o n   f e m a l e   s e r v e r s   a n d   f e m a l e   m a n a g e r s   t h e   s a d d e s t   t h i n g   i s   t h a t   i t   s   n e v e r   p r o p e r l y   a d d r e s s e d   b e c a u s e   c o o k s   a l w a y s   h a v e   m o r e   j o b   s e c u r i t y   t h a n   s e r v e r s   i   v e   e v e n   h a d   a   m a l e   m a n a g e r   t e l l   m e   s t r a i g h t   u p   t h a t   a n y b o d y   c a n   t a k e   t h a t   c o k e   t o   t h a t   t a b l e   b u t   n o t   e v e r y o n e   c a n   m a k e   a n   o m e l e t t e,2
