story,category
i   g o t   m a d e   f u n   o f   f o r   b e i n g   f a t   i n   e l e m e n t a r y   m i d d l e   a n d   e v e n   h i g h   s c h o o l   p e o p l e   w o u l d   a l w a y s   g o   o u t   o f   t h e i r   w a y   t o   t e l l   m e   h o w   f a t   i   w a s   a n d   h o w   u n a t t r a c t i v e   t h a t   m a d e   m e   e s p e c i a l l y   i n   c o m p a r i s o n   t o   o t h e r   g i r l s   m y   n i c k n a m e   i n   t h i r d   t h r o u g h   f i f t h   g r a d e   w a s   s u m o   w r e s t l e r   a n d   o n c e   a   b o y   d r e w   a   s u m o   w r e s t l e r   o n   t h e   b l a c k b o a r d   a n d   l a b e l e d   i t   w i t h   m y   n a m e   e v e n   t o d a y   o b j e c t i v e l y   k n o w i n g   i   a m   a   p r e t t y   s m a l l   p e r s o n   i   a l w a y s   f e e l   f a t   i   m   w o r k i n g   t o   u n l e a r n   h a r m f u l   b e a u t y   s t a n d a r d s   a n d   b o d y   d y s m o r p h i a   b u t   y e a r s   o f   b u l l y i n g   m e a n s   i   g e t   t r i g g e r e d   i n   t h e   m o s t   u n e x p e c t e d   w a y s   l i k e   w h e n   i   m   a t   t h e   b e a c h   o r   w h e n   a   f a t   g i r l   i s   m a d e   f u n   o f   i n   a   m o v i e,1
m y   w h o l e   l i f e   i   v e   h a d   a   s p e e c h   i_m p e d i_m e n t   w h e r e   m y   r   s   s o u n d   f u n n y   b u t   i t   w a s n   t   u n t i l   m i d d l e   s c h o o l   w h e n   i   s t a r t e d   g e t t i n g   b u l l i e d   a b o u t   i t   m y   b e s t   f r i e n d   s   n a m e   w a s   s a r a h   a n d   m e a n   g i r l s   w o u l d   m a k e   f u n   o f   t h e   w a y   i   s a i d   h e r   n a m e   f a s t   f o r w a r d   t o   n o w   w e   r e   a l l   s e n i o r s   i n   h i g h   s c h o o l   t o   t h i s   d a y   m y   f r i e n d s   w i l l   s t i l l   p o k e   f u n   a t   m y   s p e e c h   a n d   t h e y   d o n   t   k n o w   h o w   b a d l y   i t   h u r t s,1
i   w a s   f r e s h   o f f   o f   m o v i n g   t o   a   n e w   t o w n   a n d   e n t e r i n g   m y   f r e s h m a n   y e a r   i n   a   h i g h   s c h o o l   w h e r e   i   k n e w   n o b o d y   n o b o d y   l i k e s   f r e s h   m e a t   e s p e c i a l l y   g i r l s   t h a t   f i r s t   w e e k   i   i n t r o d u c e d   m y s e l f   i n   e v e r y   c l a s s   s o   p e o p l e   w o u l d   a t   l e a s t   k n o w   m y   n a m e   w h i c h   s e v e r e l y   b a c k f i r e d   d u r i n g   g y m   a   g u y   s t a r t e d   t a l k i n g   t o   m e   a n d   t h e   w h o l e   t i_m e   t h e s e   t w o   g i r l s   w e r e   w h i s p e r i n g   t o   e a c h   o t h e r   w h i l e   l o o k i n g   d i r e c t l y   a t   m e   i   l a t e r   f o u n d   o u t   t h a t   t h e   b o y   w a s   d a t i n g   o n e   o f   t h e   g i r l s   t h e   g i r l s   s p r e a d   r u m o r s   t h a t   i   w a s   a   s l u t   a n d   i   w a s   h e a r i n g   h o w   i   h o o k e d   u p   w i t h   a l l   t h e s e   b o y s   a f t e r   t h e   f i r s t   w e e k   m i n d   y o u   i   h a d   n e v e r   m e t   a n y   o f   t h e   g u y s   i   h a d   a p p a r e n t l y   h o o k e d   u p   w i t h   s o   i   h a d   t o   p r e t t y   m u c h   s t a r t   f r o m   n e g a t i v e   s c r a t c h   t o   b u i l d   a   r e p u t a t i o n   i   a c t u a l l y   l i k e d   f o r   m y s e l f   w h i l e   e v e r y o n e   e l s e   w a s   c a l l i n g   m e   a   s l u t   f o r   u n k n o w i n g l y   t a l k i n g   t o   s o m e o n e   e l s e   s   b o y f r i e n d,1
o n e   t i_m e   m y   f r e s h m a n   y e a r   o f   h i g h   s c h o o l   i   w a s   w e a r i n g   w e i r d   n i k e   s n e a k e r s   t h i s   g i r l   w h o   h a t e d   a n d   b u l l i e d   m e   w a l k e d   i n t o   t h e   b a t h r o o m   s a w   m y   s h o e s   a n d   s a i d   o h   m y   g o d   i   l o v e   y o u r   s h o e s   s h e   t h e n   w a l k e d   o u t   a n d   i   k i d   y o u   n o t   i t   w a s   l i k e   r e g i n a   g e o r g e   i n   m e a n   g i r l s   s c e n e   w h e r e   s h e   c o m p l i_m e n t s   t h e   s k i r t   a n d   t h e n   w h e n   t h e   g i r l   w a l k s   a w a y   s h e   s a y s   t h a t   s   t h e   u g l i e s t   e f f i n g   s k i r t   i   v e   e v e r   s e e n,1
i   v e   a l w a y s   b e e n   s u p e r   f l a t   c h e s t e d   a n d   i   m   s t i l l   t o t a l l y   t r a u m a t i z e d   b y   s o m e t h i n g   t h a t   h a p p e n e d   i n   s e v e n t h   g r a d e   t h e s e   t w o   g u y s   c a m e   u p   t o   m e   a n d   a s k e d   i f   t h e y   c o u l d   c a l l   m e   s t i n g r a y   b e c a u s e   y o u   r e   r e a l l y   f l a t   i   m   p r e t t y   s u r e   t h e   n a m e   c o n t i n u e d   f o r   t h e   r e s t   o f   t h a t   s c h o o l   y e a r,1
y e s t e r d a y   d u r i n g   l u n c h b r e a k   t h o e   g i r l s   c a l l e d   m e   w i t c h   f r o m   a d a m   s   f a m i l y   i   d i d n   t   h a v e   g u t s   t o   s p e a k   t o   m y   m o t h e r   a b o u t   t h i s   i t   w a s   h o r r i b l e   e x p e r i e n c e   p l e a s e   g u i d e   m e   t o   d o   s o m e t h i n g   r e g a r d i n g   t h i s,1
e v e r   s i n c e   f i r s t   g r a d e   m y   t h r e e   b e s t   f r i e n d s   a n d   i   w e r e   a   s u p e r   t i g h t   c l i q u e   i n   t h e   f i f t h   g r a d e   a n o t h e r   g i r l   t r i e d   t o   s l i d e   i n t o   t h e   f r i e n d s h i p   w e   w e r e   p r e t t y   n i c e   t o   h e r   f a c e   b u t   w e   d i d n   t   w a n t   h e r   t o   b e   p a r t   o f   t h e   g r o u p   s o   w e   d e v i s e d   a   s t r a t e g y   t h a t   s u m m e r   w h i l e   i   w a s   o n   v a c a t i o n   w i t h   m y   f a m i l y   m y   o t h e r   t h r e e   f r i e n d s   a c t e d   c l o s e   t o   h e r   a n d   l e t   h e r   b e   t h e   t e m p o r a r y   f o u r t h   m e m b e r   w h e n   i   g o t   b a c k   o n e   o f   m y   f r i e n d s   p l a c e d   a   s e c r e t   t h r e e   w a y   c a l l   w i t h   m e   a n d   t h e   g i r l   i   w o u l d   s t a y   s i l e n t   o n   t h e   l i n e   w h i l e   m y   f r i e n d   w o u l d   e n c o u r a g e   t h e   g i r l   t o   s a y   m e a n   t h i n g s   a b o u t   m e   a n d   t h e n   i   w o u l d   r e v e a l   t h a t   i   w a s   o n   t h e   p h o n e   t o o   a n d   s h e   c o u l d   n e v e r   b e   o u r   f r i e n d   n o w   i   m   p r e t t y   s u r e   w e   g o t   t h e   i d e a   f r o m   m e a n   g i r l s   m y   f r i e n d s   a n d   i   g o t   i n   t r o u b l e   f o r   b u l l y i n g   a f t e r   t h e   g i r l   s   m o m   c a l l e d   o u r   m o m s   c r y i n g,1
h i   i   m   r a h u l   i   w a s   b u l l i e d   a l l   t h r o u g h   s c h o o l   o n e   b u l l y   s t o o d   o u t   r a k e s h   k u m a r   h e   b u l l i e d   m e   a l l   t h r o u g h   j u n i o r   h i g h   h e   w o u l d   s a y   t h i n g s   t o   m e   l i k e   i_m   g o n n a   b e a t   y o u   u p   o n   t h e   l a s t   d a y   o f   s c h o o l   h e   k n e w   s o m e   s t u d e n t s   a t   a n o t h e r   h i g h   s c h o o l   t h a t   i f   r a k e s h   p a i d   t h e m   e n o u g h   m o n e y   t h e y   w o u l d   b e a t   m e   u p   !   h e   s a i d   t h a t   i   w a s   i g n o r a n t   r a k e s h   s a i d   h e   c o u l d n   t   w a i t   t o   g o   t o   h i s   n e w   s c h o o l   s o   h e   w o u l d n   t   h a v e   t o   p u t   u p   w i t h   m e   i   a s k e d   r a k e s h   w h y   a r e   y o u   d o i n g   t h i s   t o   m e   ?   r a k e s h   s a i d   l o o k   a t   m e   a n d   l o o k   a t   y o u   h e   t h o u g h t   b e c a u s e   h e   w a s   b i g g e r   t h a n   m e   t h a t   i t   m a d e   o k   f o r   r a k e s h   t o   b u l l y   m e   m y   p a r e n t s   a n d   i   t o l d   t h e   s c h o o l   n o t h i n g   w a s   d o n e   a b o u t   i t   r a k e s h   n e v e r   l a i d   a   h a n d   o n   m e   i t s   a   g o o d   t h i n g   c a u s e   i f   r a k e s h   d i d   s o m e t h i n g   t o   h u r t   m e   h e   w o u l d   h a v e   b e e n   i n   b i g   t r o u b l e,1
i   w a s   b o r n   w i t h   a   c r a n i o f a c i a l   d i s e a s e   c a l l e d   s t i c k l e r   s y n d r o m e   w h i c h   i   i n h e r i t e d   f r o m   m y   m o t h e r   o d d l y   m y   m o t h e r   d o e s   n o t   k n o w   w h e r e   s h e   g o t   o u r   c o m m o n l y   s h a r e d   d i s e a s e   f r o m   t h i s   d i s e a s e   h a s   c a u s e d   m e   t o   b e   s e v e r e l y   n e a r s i g h t e d   h a v e   b a d   h e a r i n g   a   s h o r t   n o s e   a   s l i g h t l y   f l a t   f a c e   a n d   h a s   c a u s e d   m e   t o   e x p e r i e n c e   s o m e   s l i g h t   s y m p t o m s   o f   s c o l i o s i s   a t   a   y o u n g   a g e   a s   a   k i d   i   v e   h a d   s e v e r a l   c o n s u l t a t i o n s   a b o u t   h a v i n g   r e c o n s t r u c t i v e   s u r g e r y   o n   m y   n o s e   i   h a v e   h a d   h e a r i n g   a i d s   a n d   i   h a v e   i n c r e d i b l y   t h i c k   g l a s s e s   t h i s   d i s e a s e   h a s   a l s o   t a k e n   a   h u g e   t o l l   o n   m y   s e l f   e s t e e m   a s   i   v e   b e e n   b u l l i e d   n o t   o n l y   b y   k i d s   b u t   b y   a d u l t s   a s   w e l l   i   r e m e m b e r   o n e   t i_m e   b e i n g   a t   a   f a m i l y   f r i e n d s   h o u s e   a n d   h e a r i n g   a   g u e s t   s a y   t h a t   s   o n e   u g l y   c h i l d   k i d s   a l s o   w o u l d   r e f e r   t o   m e   a s   f o u r   e y e s   a n d   u g l y,1
h i g h   s c h o o l   a n d   j u n i o r   h i g h   w e r e   h e l l   f o r   m e   e v e r y   d a y   g u y s   f r o m   a d j a c e n t   c l a s s e s   w o u l d   p u s h   m e   o v e r   t h r e a t e n   m e   w i t h   k n i v e s   n a i l s   o r   w h a t   e v e r   s h a r p   o b j e c t s   t h e y   h a d   i   d e v e l o p e d   s e v e r e   c h r o n i c a l   d e p r e s s i o n   a n d   d u e   t o   f a m i l y   p r o b l e m s   i   d i d n   t   d a r e   t o   s p e a k   a t   h o m e   s o m e   o f   m y   f r i e n d s   n o t i c e d   t h a t   i   w e n t   f r o m   a   s e m i   l o u d   g u y   t o   a   q u i e t   o n e   a n d   i n s t e a d   o f   a s k i n g   t h e   r e a s o n   t h e y   d e c i d e d   t o   s p y   o n   m e   t o   f i n d   o u t   w h y   d i d   i   g o   q u i e t   t h e   b u l l y i n g   g o t   h a r d e r   t h e n   c o m e s   s u m m e r   a f t e r   w h i c h   h i g h   s c h o o l   n a t u r a l l y   i   w a s   h o p i n g   f o r   a   f r e s h   s t a r t   b u t   n o   a   b u l l y   j u s t   h a d   t o   c h o o s e   t h e   s a m e   h i g h   s c h o o l   a n d   i_m m e d i a t l y   s t a r t e d   t o   r u m o u r   a b o u t   m y   s k i n   d i s e a s e   t h a t   k i l l s   i   m a d e   a   f e w   n e w   f r i e n d s   a n d   i   f i n a l l y   h a d   e n o u g h   i   t o l d   m y   f r i e n d s   w h a t   w a s   g o i n g   o n   a n d   f o r   a l l   i   k n o w   t h e   b u l l y   d i s a p p e a r e d   f r o m   s c h o o l   i f   y o u   a r e   a   b u l l y   s t o p   i t   i t   i s n   t   g o n n a   h e l p   y o u   a n d   i f   y o u   r e   b u l l i e d   e i t h e r   t e l l   a   s t a f f   m e m b e r   o r   y o u r   f r i e n d s,1
m y   b u l l y i n g   s t a r t e d   o r   w h e n   i   f i r s t   n o t i c e d   i t   w h e n   i   w a s   i n   a r o u n d   c l a s s   2   t h e r e   w e r e   t w o   b o y s   t h a t   w e r e   t w o   g r a d e s   h i g h e r   t h a n   m e   a n d   a l w a y s   c a l l e d   m e   n a m e s   l i k e   u g l y   a n d   u s e l e s s   t h a t   w a s n   t   t h e   w o r s t   o f   i t   t h o u g h   o n e   d a y   o n   t h e   b u s   o n e   o f   t h e   b o y s   d e c i d e d   t o   p l a y   a   g a m e   b y   m e   a n s w e r i n g   r a n d o m   f a c t s   a b o u t   h i_m   i   d i d n   t   h a v e   a   c h o i c e   i n   t h e   m a t t e r   s i n c e   i   w a s   s o   y o u n g   w h e n   i   l o s t   t h e   g a m e   h e   p u l l e d   o u t   a   r u b b e r   b o u n c y   b a l l   c o m p l e t e l y   i_m p a l e d   w i t h   t o o t h p i c k s   a n d   t h r e w   i t   a t   m e   h e   d i d   t h i s   a   t o t a l   o f   t h r e e   t i_m e s   b e f o r e   l e a v i n g   t h e   b u s   l a t e r   h e   w a s   e x p e l l e d   b e c a u s e   i   t a l k e d   t o   m y   m o t h e r   a b o u t   i t   i   s t i l l   h a v e   t h e   s c a r s   o n   m y   a r m   a n d   a n k l e   f r o m   i t,1
i   w a s   i n   m y   c l a s s   8   y e a r   i n   a   d i f f e r e n t   s c h o o l   i   h a d   l e f t   t h e   p r e v i o u s   s c h o o l   d u e   t o   t h e   f a c t   t h a t   i   w a s   b e i n g   c o n s t a n t l y   s c r u t i n i z e d   a n d   p i c k e d   o n   b y   m y   p e e r s   a n d   w a s   y e a r n i n g   f o r   a   f r e s h   s t a r t   t h i s   d i d n   t   h a p p e n   t h o u g h   w h e n   a   k i d   f r o m   m y   o l d   s c h o o l   m o v e d   t o   m y   n e w   s c h o o l   a n d   s t a r t e d   t o   s p r e a d   h o r r i b l e   r u m o r s   t h a t   i   w a s   w a t c h i n g   p o r n o g r a p h y   i   a m   a   p e r s o n   w h o   h a s   a n   e x t r e m e   p h o b i a   o f   s e x   a n d   e v e n   t a l k i n g   a b o u t   i t   m a k e s   m e   n e r v o u s   s o   m y   p a r e n t s   k n e w   i_m m e d i a t e l y   t h a t   t h i s   w a s   a   l i e   a n o t h e r   t h i n g   t h a t   t h e y   t e a s e d   m e   f o r   w a s   f o r   s t a n d i n g   b y   o n e   o f   m y   f r i e n d s   w h o   i s   t r a n s g e n d e r   l u c k i l y   t h e y   t a l k e d   t o   t h e   p r i n c i p a l   a n d   t h i n g s   w e r e   s e t   s t r a i g h t   f o r   m e   t o   f i n i s h   m y   y e a r   i n   p e a c e   i   m   s t i l l   w a i t i n g   t o   s e e   h o w   m y   j u n i o r   y e a r   g o e s   i n   h i g h   s c h o o l   a n d   i f   i   n e e d   t o   w r i t e   a g a i n   o r   n o t,1
t o d a y   a t   r e c e s s   a   g r o u p   o f   s e n i o r   g u y s   c a m e   u p   t o   m e   a n d   m y   f r i e n d s   a n d   s t a r t e d   t a l k i n g   r u d e l y   t o   u s   i t   m a d e   m e   f e e l   b a d   t h e n   t h e y   h e l d   m y   s w e a t e r   t i g h t l y   a n d   p u s h e d   m e   t o   t h e   f l o o r   s i_m i l a r   t h i n g   t h e y   v e   d o n e   t o   m y   f r i e n d s   t h e n   t h e y   s t a r t e d   t h r e a t e n i n g   t h a t   i f   w e   c o m p l a i n   t o   t h e   t e a c h e r s   p r i n c i p a l   o r   o u r   p a r e n t s   t h e n   c o n s e q u e n c e s   w i l l   b e   t e r r i b l e   n o w   i   m   w r i t i n g   i n   y o u r   b l o g   t o   o p e n   u p   a b o u t   m y   r e c e n t   s i t u a t i o n   t h a t   h a p p e n e d   p l e a s e   h e l p   m e   a n d   m y   f r i e n d s   i f   p o s s i b l e   h i s   n a m e   w a s   l o k e s h   i   d o n   t   k n o w   h i s   f u l l   n a m e   a n d   i   a l s o   d o n   t   k n o w   t h e i r   o t h e r   n a m e s   w h o m   w e r e   b e i n g   a c c o m p a n i e d   b y   h i_m,1
i   w a s   j u s t   s t a r t i n g   m i d d l e   s c h o o l   a n d   i   h a d   t h e   s a m e   f r i e n d s   a s   i   d i d   i n   t h e   5 t h   g r a d e   i   t h o u g h t   t h o s e   f r i e n d   w e r e   r e a l l y   c l o s e   a n d   r e a l l y   g o o d   t o   m e   b u t   t h e   m o r e   i   g o t   t o   k n o w   t h e m   t h e   m o r e   i   r e a l i z e d   t h a t   t h e y   o n l y   a s s o c i a t e d   w i t h   m e   b e c a u s e   o f   m y   b e s t   f r i e n d   w h o   e v e r y o n e   l o v e d   a n d   a d o r e d   t h e y   n o r m a l l y   w o u l d   t r e a t   m e   l i k e   t r a s h   w h e n   m y   b e s t   f r i e n d   w a s n   t   a r o u n d,1
